0 energy for occp = -43.3254783 m = 1 primary_state = (n, k, m, sign)0 -1 1 1
1 energy for occp = -43.3254783 m = -1 primary_state = (n, k, m, sign)0 -1 -1 1
2 energy for occp = -39.0932494 m = 3 primary_state = (n, k, m, sign)0 -2 3 1
3 energy for occp = -39.0932494 m = 1 primary_state = (n, k, m, sign)0 -2 1 1
4 energy for occp = -39.0932494 m = -3 primary_state = (n, k, m, sign)0 -2 -3 1
5 energy for occp = -39.0932494 m = -1 primary_state = (n, k, m, sign)0 -2 -1 1
6 energy for occp = -38.7563711 m = 1 primary_state = (n, k, m, sign)0 1 1 1
7 energy for occp = -38.7563711 m = -1 primary_state = (n, k, m, sign)0 1 -1 1
8 energy for occp = -33.5945044 m = -5 primary_state = (n, k, m, sign)0 -3 -5 1
9 energy for occp = -33.5945044 m = 5 primary_state = (n, k, m, sign)0 -3 5 1
10 energy for occp = -33.5945044 m = 3 primary_state = (n, k, m, sign)0 -3 3 1
11 energy for occp = -33.5945044 m = -1 primary_state = (n, k, m, sign)0 -3 -1 1
12 energy for occp = -33.5945044 m = -3 primary_state = (n, k, m, sign)0 -3 -3 1
13 energy for occp = -33.5945044 m = 1 primary_state = (n, k, m, sign)0 -3 1 1
14 energy for occp = -32.6428998 m = 1 primary_state = (n, k, m, sign)0 2 1 1
15 energy for occp = -32.6428998 m = -3 primary_state = (n, k, m, sign)0 2 -3 1
16 energy for occp = -32.6428998 m = -1 primary_state = (n, k, m, sign)0 2 -1 1
17 energy for occp = -32.6428998 m = 3 primary_state = (n, k, m, sign)0 2 3 1
18 energy for occp = -29.1246275 m = 1 primary_state = (n, k, m, sign)1 -1 1 1
19 energy for occp = -29.1246275 m = -1 primary_state = (n, k, m, sign)1 -1 -1 1
20 energy for occp = -27.1814502 m = -7 primary_state = (n, k, m, sign)0 -4 -7 1
21 energy for occp = -27.1814502 m = -3 primary_state = (n, k, m, sign)0 -4 -3 1
22 energy for occp = -27.1814502 m = 1 primary_state = (n, k, m, sign)0 -4 1 1
23 energy for occp = -27.1814502 m = 5 primary_state = (n, k, m, sign)0 -4 5 1
24 energy for occp = -27.1814502 m = 3 primary_state = (n, k, m, sign)0 -4 3 1
25 energy for occp = -27.1814502 m = -5 primary_state = (n, k, m, sign)0 -4 -5 1
26 energy for occp = -27.1814502 m = 7 primary_state = (n, k, m, sign)0 -4 7 1
27 energy for occp = -27.1814502 m = -1 primary_state = (n, k, m, sign)0 -4 -1 1
28 energy for occp = -25.3836779 m = 3 primary_state = (n, k, m, sign)0 3 3 1
29 energy for occp = -25.3836779 m = -1 primary_state = (n, k, m, sign)0 3 -1 1
30 energy for occp = -25.3836779 m = 1 primary_state = (n, k, m, sign)0 3 1 1
31 energy for occp = -25.3836779 m = -3 primary_state = (n, k, m, sign)0 3 -3 1
32 energy for occp = -25.3836779 m = 5 primary_state = (n, k, m, sign)0 3 5 1
33 energy for occp = -25.3836779 m = -5 primary_state = (n, k, m, sign)0 3 -5 1
34 energy for occp = -21.0687589 m = -3 primary_state = (n, k, m, sign)1 -2 -3 1
35 energy for occp = -21.0687589 m = 1 primary_state = (n, k, m, sign)1 -2 1 1
36 energy for occp = -21.0687589 m = -1 primary_state = (n, k, m, sign)1 -2 -1 1
37 energy for occp = -21.0687589 m = 3 primary_state = (n, k, m, sign)1 -2 3 1
38 energy for occp = -20.6786189 m = -1 primary_state = (n, k, m, sign)1 1 -1 1
39 energy for occp = -20.6786189 m = 1 primary_state = (n, k, m, sign)1 1 1 1
40 energy for occp = -20.099804 m = -9 primary_state = (n, k, m, sign)0 -5 -9 1
41 energy for occp = -20.099804 m = -1 primary_state = (n, k, m, sign)0 -5 -1 1
42 energy for occp = -20.099804 m = -7 primary_state = (n, k, m, sign)0 -5 -7 1
43 energy for occp = -20.099804 m = 7 primary_state = (n, k, m, sign)0 -5 7 1
44 energy for occp = -20.099804 m = -5 primary_state = (n, k, m, sign)0 -5 -5 1
45 energy for occp = -20.099804 m = 9 primary_state = (n, k, m, sign)0 -5 9 1
46 energy for occp = -20.099804 m = 5 primary_state = (n, k, m, sign)0 -5 5 1
47 energy for occp = -20.099804 m = 3 primary_state = (n, k, m, sign)0 -5 3 1
48 energy for occp = -20.099804 m = 1 primary_state = (n, k, m, sign)0 -5 1 1
49 energy for occp = -20.099804 m = -3 primary_state = (n, k, m, sign)0 -5 -3 1
50 energy for occp = -17.267167 m = 1 primary_state = (n, k, m, sign)0 4 1 1
51 energy for occp = -17.267167 m = -1 primary_state = (n, k, m, sign)0 4 -1 1
52 energy for occp = -17.267167 m = 7 primary_state = (n, k, m, sign)0 4 7 1
53 energy for occp = -17.267167 m = -7 primary_state = (n, k, m, sign)0 4 -7 1
54 energy for occp = -17.267167 m = -5 primary_state = (n, k, m, sign)0 4 -5 1
55 energy for occp = -17.267167 m = 5 primary_state = (n, k, m, sign)0 4 5 1
56 energy for occp = -17.267167 m = 3 primary_state = (n, k, m, sign)0 4 3 1
57 energy for occp = -17.267167 m = -3 primary_state = (n, k, m, sign)0 4 -3 1
58 energy for occp = -12.7433439 m = 3 primary_state = (n, k, m, sign)1 -3 3 1
59 energy for occp = -12.7433439 m = 1 primary_state = (n, k, m, sign)1 -3 1 1
60 energy for occp = -12.7433439 m = -1 primary_state = (n, k, m, sign)1 -3 -1 1
61 energy for occp = -12.7433439 m = -3 primary_state = (n, k, m, sign)1 -3 -3 1
62 energy for occp = -12.7433439 m = -5 primary_state = (n, k, m, sign)1 -3 -5 1
63 energy for occp = -12.7433439 m = 5 primary_state = (n, k, m, sign)1 -3 5 1
64 energy for occp = -12.5441989 m = 1 primary_state = (n, k, m, sign)0 -6 1 1
