0 energy for occp = -43.4406694 m = 1 primary_state = (n, k, m, sign)0 -1 1 1
39 energy for occp = -20.5429375 m = 1 primary_state = (n, k, m, sign)1 1 1 1
40 energy for occp = -19.8908399 m = -9 primary_state = (n, k, m, sign)0 -5 -9 1
41 energy for occp = -19.8908399 m = -1 primary_state = (n, k, m, sign)0 -5 -1 1
42 energy for occp = -19.8908399 m = -7 primary_state = (n, k, m, sign)0 -5 -7 1
43 energy for occp = -19.8908399 m = 7 primary_state = (n, k, m, sign)0 -5 7 1
44 energy for occp = -19.8908399 m = -5 primary_state = (n, k, m, sign)0 -5 -5 1
45 energy for occp = -19.8908399 m = 9 primary_state = (n, k, m, sign)0 -5 9 1
46 energy for occp = -19.8908399 m = 5 primary_state = (n, k, m, sign)0 -5 5 1
47 energy for occp = -19.8908399 m = 3 primary_state = (n, k, m, sign)0 -5 3 1
48 energy for occp = -19.8908399 m = 1 primary_state = (n, k, m, sign)0 -5 1 1
49 energy for occp = -19.8908399 m = -3 primary_state = (n, k, m, sign)0 -5 -3 1
50 energy for occp = -17.0035703 m = 1 primary_state = (n, k, m, sign)0 4 1 1
51 energy for occp = -17.0035703 m = -1 primary_state = (n, k, m, sign)0 4 -1 1
52 energy for occp = -17.0035703 m = 7 primary_state = (n, k, m, sign)0 4 7 1
53 energy for occp = -17.0035703 m = -7 primary_state = (n, k, m, sign)0 4 -7 1
54 energy for occp = -17.0035703 m = -5 primary_state = (n, k, m, sign)0 4 -5 1
55 energy for occp = -17.0035703 m = 5 primary_state = (n, k, m, sign)0 4 5 1
56 energy for occp = -17.0035703 m = 3 primary_state = (n, k, m, sign)0 4 3 1
57 energy for occp = -17.0035703 m = -3 primary_state = (n, k, m, sign)0 4 -3 1
58 energy for occp = -12.523071 m = 3 primary_state = (n, k, m, sign)1 -3 3 1
59 energy for occp = -12.523071 m = 1 primary_state = (n, k, m, sign)1 -3 1 1
60 energy for occp = -12.523071 m = -1 primary_state = (n, k, m, sign)1 -3 -1 1
61 energy for occp = -12.523071 m = -3 primary_state = (n, k, m, sign)1 -3 -3 1
62 energy for occp = -12.523071 m = -5 primary_state = (n, k, m, sign)1 -3 -5 1
63 energy for occp = -12.523071 m = 5 primary_state = (n, k, m, sign)1 -3 5 1
64 energy for occp = -12.2660322 m = 1 primary_state = (n, k, m, sign)0 -6 1 1
65 energy for occp = -12.2660322 m = -11 primary_state = (n, k, m, sign)0 -6 -11 1
66 energy for occp = -12.2660322 m = 3 primary_state = (n, k, m, sign)0 -6 3 1
67 energy for occp = -12.2660322 m = 5 primary_state = (n, k, m, sign)0 -6 5 1
68 energy for occp = -12.2660322 m = 7 primary_state = (n, k, m, sign)0 -6 7 1
69 energy for occp = -12.2660322 m = 9 primary_state = (n, k, m, sign)0 -6 9 1
70 energy for occp = -12.2660322 m = 11 primary_state = (n, k, m, sign)0 -6 11 1
71 energy for occp = -12.2660322 m = -5 primary_state = (n, k, m, sign)0 -6 -5 1
72 energy for occp = -12.2660322 m = -1 primary_state = (n, k, m, sign)0 -6 -1 1
73 energy for occp = -12.2660322 m = -7 primary_state = (n, k, m, sign)0 -6 -7 1
74 energy for occp = -12.2660322 m = -9 primary_state = (n, k, m, sign)0 -6 -9 1
75 energy for occp = -12.2660322 m = -3 primary_state = (n, k, m, sign)0 -6 -3 1
76 energy for occp = -11.5048317 m = -1 primary_state = (n, k, m, sign)1 2 -1 1
77 energy for occp = -11.5048317 m = 1 primary_state = (n, k, m, sign)1 2 1 1
78 energy for occp = -11.5048317 m = 3 primary_state = (n, k, m, sign)1 2 3 1
79 energy for occp = -11.5048317 m = -3 primary_state = (n, k, m, sign)1 2 -3 1
80 energy for occp = -9.95383047 m = 1 primary_state = (n, k, m, sign)2 -1 1 1
81 energy for occp = -9.95383047 m = -1 primary_state = (n, k, m, sign)2 -1 -1 1
82 energy for occp = -8.19207765 m = 3 primary_state = (n, k, m, sign)0 5 3 1
83 energy for occp = -8.19207765 m = -3 primary_state = (n, k, m, sign)0 5 -3 1
84 energy for occp = -8.19207765 m = 7 primary_state = (n, k, m, sign)0 5 7 1
85 energy for occp = -8.19207765 m = -9 primary_state = (n, k, m, sign)0 5 -9 1
86 energy for occp = -8.19207765 m = -7 primary_state = (n, k, m, sign)0 5 -7 1
87 energy for occp = -8.19207765 m = -5 primary_state = (n, k, m, sign)0 5 -5 1
88 energy for occp = -8.19207765 m = 5 primary_state = (n, k, m, sign)0 5 5 1
89 energy for occp = -8.19207765 m = 9 primary_state = (n, k, m, sign)0 5 9 1
90 energy for occp = -8.19207765 m = 1 primary_state = (n, k, m, sign)0 5 1 1
91 energy for occp = -8.19207765 m = -1 primary_state = (n, k, m, sign)0 5 -1 1
92 energy for occp = -4.32910869 m = -9 primary_state = (n, k, m, sign)0 -7 -9 1
93 energy for occp = -4.32910869 m = 13 primary_state = (n, k, m, sign)0 -7 13 1
94 energy for occp = -4.32910869 m = -7 primary_state = (n, k, m, sign)0 -7 -7 1
95 energy for occp = -4.32910869 m = 5 primary_state = (n, k, m, sign)0 -7 5 1
96 energy for occp = -4.32910869 m = 11 primary_state = (n, k, m, sign)0 -7 11 1
97 energy for occp = -4.32910869 m = -13 primary_state = (n, k, m, sign)0 -7 -13 1
98 energy for occp = -4.32910869 m = -5 primary_state = (n, k, m, sign)0 -7 -5 1
99 energy for occp = -4.32910869 m = -1 primary_state = (n, k, m, sign)0 -7 -1 1
100 energy for occp = -4.32910869 m = 7 primary_state = (n, k, m, sign)0 -7 7 1
101 energy for occp = -4.32910869 m = 3 primary_state = (n, k, m, sign)0 -7 3 1
102 energy for occp = -4.32910869 m = 1 primary_state = (n, k, m, sign)0 -7 1 1
103 energy for occp = -4.32910869 m = 9 primary_state = (n, k, m, sign)0 -7 9 1
104 energy for occp = -4.32910869 m = -11 primary_state = (n, k, m, sign)0 -7 -11 1
105 energy for occp = -4.32910869 m = -3 primary_state = (n, k, m, sign)0 -7 -3 1
106 energy for occp = -4.03179425 m = 5 primary_state = (n, k, m, sign)1 -4 5 1
107 energy for occp = -4.03179425 m = 7 primary_state = (n, k, m, sign)1 -4 7 1
108 energy for occp = -4.03179425 m = 3 primary_state = (n, k, m, sign)1 -4 3 1
109 energy for occp = -4.03179425 m = -5 primary_state = (n, k, m, sign)1 -4 -5 1
110 energy for occp = -4.03179425 m = -1 primary_state = (n, k, m, sign)1 -4 -1 1
111 energy for occp = -4.03179425 m = 1 primary_state = (n, k, m, sign)1 -4 1 1
112 energy for occp = -4.03179425 m = -7 primary_state = (n, k, m, sign)1 -4 -7 1
113 energy for occp = -4.03179425 m = -3 primary_state = (n, k, m, sign)1 -4 -3 1
114 energy for occp = -2.31801548 m = -3 primary_state = (n, k, m, sign)1 3 -3 1
115 energy for occp = -2.31801548 m = -1 primary_state = (n, k, m, sign)1 3 -1 1
116 energy for occp = -2.31801548 m = 1 primary_state = (n, k, m, sign)1 3 1 1
117 energy for occp = -2.31801548 m = 3 primary_state = (n, k, m, sign)1 3 3 1
0 energy for occn = -60.7835622 m = 1 primary_state = (n, k, m, sign)0 -1 1 1
1 energy for occn = -60.7835622 m = -1 primary_state = (n, k, m, sign)0 -1 -1 1
2 energy for occn = -56.2160412 m = -3 primary_state = (n, k, m, sign)0 -2 -3 1
3 energy for occn = -56.2160412 m = 1 primary_state = (n, k, m, sign)0 -2 1 1
4 energy for occn = -56.2160412 m = 3 primary_state = (n, k, m, sign)0 -2 3 1
5 energy for occn = -56.2160412 m = -1 primary_state = (n, k, m, sign)0 -2 -1 1
6 energy for occn = -55.9599199 m = 1 primary_state = (n, k, m, sign)0 1 1 1
7 energy for occn = -55.9599199 m = -1 primary_state = (n, k, m, sign)0 1 -1 1
8 energy for occn = -50.1772995 m = -5 primary_state = (n, k, m, sign)0 -3 -5 1
9 energy for occn = -50.1772995 m = -1 primary_state = (n, k, m, sign)0 -3 -1 1
10 energy for occn = -50.1772995 m = 5 primary_state = (n, k, m, sign)0 -3 5 1
11 energy for occn = -50.1772995 m = 1 primary_state = (n, k, m, sign)0 -3 1 1
12 energy for occn = -50.1772995 m = -3 primary_state = (n, k, m, sign)0 -3 -3 1
13 energy for occn = -50.1772995 m = 3 primary_state = (n, k, m, sign)0 -3 3 1
14 energy for occn = -49.3887769 m = -1 primary_state = (n, k, m, sign)0 2 -1 1
15 energy for occn = -49.3887769 m = 1 primary_state = (n, k, m, sign)0 2 1 1
16 energy for occn = -49.3887769 m = -3 primary_state = (n, k, m, sign)0 2 -3 1
17 energy for occn = -49.3887769 m = 3 primary_state = (n, k, m, sign)0 2 3 1
18 energy for occn = -45.1466416 m = -1 primary_state = (n, k, m, sign)1 -1 -1 1
19 energy for occn = -45.1466416 m = 1 primary_state = (n, k, m, sign)1 -1 1 1
20 energy for occn = -43.1419162 m = -5 primary_state = (n, k, m, sign)0 -4 -5 1
21 energy for occn = -43.1419162 m = 5 primary_state = (n, k, m, sign)0 -4 5 1
22 energy for occn = -43.1419162 m = -3 primary_state = (n, k, m, sign)0 -4 -3 1
23 energy for occn = -43.1419162 m = 3 primary_state = (n, k, m, sign)0 -4 3 1
24 energy for occn = -43.1419162 m = -7 primary_state = (n, k, m, sign)0 -4 -7 1
25 energy for occn = -43.1419162 m = 7 primary_state = (n, k, m, sign)0 -4 7 1
26 energy for occn = -43.1419162 m = 1 primary_state = (n, k, m, sign)0 -4 1 1
27 energy for occn = -43.1419162 m = -1 primary_state = (n, k, m, sign)0 -4 -1 1
28 energy for occn = -41.5871247 m = 3 primary_state = (n, k, m, sign)0 3 3 1
29 energy for occn = -41.5871247 m = -3 primary_state = (n, k, m, sign)0 3 -3 1
30 energy for occn = -41.5871247 m = 5 primary_state = (n, k, m, sign)0 3 5 1
31 energy for occn = -41.5871247 m = -5 primary_state = (n, k, m, sign)0 3 -5 1
32 energy for occn = -41.5871247 m = -1 primary_state = (n, k, m, sign)0 3 -1 1
33 energy for occn = -41.5871247 m = 1 primary_state = (n, k, m, sign)0 3 1 1
34 energy for occn = -36.9280081 m = -1 primary_state = (n, k, m, sign)1 -2 -1 1
35 energy for occn = -36.9280081 m = -3 primary_state = (n, k, m, sign)1 -2 -3 1
36 energy for occn = -36.9280081 m = 3 primary_state = (n, k, m, sign)1 -2 3 1
37 energy for occn = -36.9280081 m = 1 primary_state = (n, k, m, sign)1 -2 1 1
38 energy for occn = -36.541826 m = 1 primary_state = (n, k, m, sign)1 1 1 1
39 energy for occn = -36.541826 m = -1 primary_state = (n, k, m, sign)1 1 -1 1
40 energy for occn = -35.4032806 m = -5 primary_state = (n, k, m, sign)0 -5 -5 1
41 energy for occn = -35.4032806 m = -3 primary_state = (n, k, m, sign)0 -5 -3 1
42 energy for occn = -35.4032806 m = 3 primary_state = (n, k, m, sign)0 -5 3 1
43 energy for occn = -35.4032806 m = 9 primary_state = (n, k, m, sign)0 -5 9 1
44 energy for occn = -35.4032806 m = -7 primary_state = (n, k, m, sign)0 -5 -7 1
45 energy for occn = -35.4032806 m = 7 primary_state = (n, k, m, sign)0 -5 7 1
46 energy for occn = -35.4032806 m = -9 primary_state = (n, k, m, sign)0 -5 -9 1
47 energy for occn = -35.4032806 m = 5 primary_state = (n, k, m, sign)0 -5 5 1
48 energy for occn = -35.4032806 m = -1 primary_state = (n, k, m, sign)0 -5 -1 1
49 energy for occn = -35.4032806 m = 1 primary_state = (n, k, m, sign)0 -5 1 1
50 energy for occn = -32.8794885 m = 7 primary_state = (n, k, m, sign)0 4 7 1
51 energy for occn = -32.8794885 m = -7 primary_state = (n, k, m, sign)0 4 -7 1
52 energy for occn = -32.8794885 m = -1 primary_state = (n, k, m, sign)0 4 -1 1
53 energy for occn = -32.8794885 m = 3 primary_state = (n, k, m, sign)0 4 3 1
54 energy for occn = -32.8794885 m = -3 primary_state = (n, k, m, sign)0 4 -3 1
55 energy for occn = -32.8794885 m = 1 primary_state = (n, k, m, sign)0 4 1 1
56 energy for occn = -32.8794885 m = 5 primary_state = (n, k, m, sign)0 4 5 1
57 energy for occn = -32.8794885 m = -5 primary_state = (n, k, m, sign)0 4 -5 1
58 energy for occn = -28.2452018 m = 5 primary_state = (n, k, m, sign)1 -3 5 1
59 energy for occn = -28.2452018 m = -3 primary_state = (n, k, m, sign)1 -3 -3 1
60 energy for occn = -28.2452018 m = -1 primary_state = (n, k, m, sign)1 -3 -1 1
61 energy for occn = -28.2452018 m = -5 primary_state = (n, k, m, sign)1 -3 -5 1
62 energy for occn = -28.2452018 m = 3 primary_state = (n, k, m, sign)1 -3 3 1
63 energy for occn = -28.2452018 m = 1 primary_state = (n, k, m, sign)1 -3 1 1
64 energy for occn = -27.274732 m = 3 primary_state = (n, k, m, sign)1 2 3 1
65 energy for occn = -27.274732 m = -1 primary_state = (n, k, m, sign)1 2 -1 1
66 energy for occn = -27.274732 m = 1 primary_state = (n, k, m, sign)1 2 1 1
67 energy for occn = -27.274732 m = -3 primary_state = (n, k, m, sign)1 2 -3 1
68 energy for occn = -27.175239 m = 11 primary_state = (n, k, m, sign)0 -6 11 1
69 energy for occn = -27.175239 m = -5 primary_state = (n, k, m, sign)0 -6 -5 1
70 energy for occn = -27.175239 m = 5 primary_state = (n, k, m, sign)0 -6 5 1
71 energy for occn = -27.175239 m = -11 primary_state = (n, k, m, sign)0 -6 -11 1
72 energy for occn = -27.175239 m = 1 primary_state = (n, k, m, sign)0 -6 1 1
73 energy for occn = -27.175239 m = 3 primary_state = (n, k, m, sign)0 -6 3 1
74 energy for occn = -27.175239 m = 7 primary_state = (n, k, m, sign)0 -6 7 1
75 energy for occn = -27.175239 m = -7 primary_state = (n, k, m, sign)0 -6 -7 1
76 energy for occn = -27.175239 m = -1 primary_state = (n, k, m, sign)0 -6 -1 1
77 energy for occn = -27.175239 m = -9 primary_state = (n, k, m, sign)0 -6 -9 1
78 energy for occn = -27.175239 m = 9 primary_state = (n, k, m, sign)0 -6 9 1
79 energy for occn = -27.175239 m = -3 primary_state = (n, k, m, sign)0 -6 -3 1
80 energy for occn = -25.1772508 m = 1 primary_state = (n, k, m, sign)2 -1 1 1
81 energy for occn = -25.1772508 m = -1 primary_state = (n, k, m, sign)2 -1 -1 1
82 energy for occn = -23.5132002 m = -1 primary_state = (n, k, m, sign)0 5 -1 1
83 energy for occn = -23.5132002 m = 9 primary_state = (n, k, m, sign)0 5 9 1
84 energy for occn = -23.5132002 m = -5 primary_state = (n, k, m, sign)0 5 -5 1
85 energy for occn = -23.5132002 m = 3 primary_state = (n, k, m, sign)0 5 3 1
86 energy for occn = -23.5132002 m = -9 primary_state = (n, k, m, sign)0 5 -9 1
87 energy for occn = -23.5132002 m = 7 primary_state = (n, k, m, sign)0 5 7 1
88 energy for occn = -23.5132002 m = 1 primary_state = (n, k, m, sign)0 5 1 1
89 energy for occn = -23.5132002 m = -7 primary_state = (n, k, m, sign)0 5 -7 1
90 energy for occn = -23.5132002 m = 5 primary_state = (n, k, m, sign)0 5 5 1
91 energy for occn = -23.5132002 m = -3 primary_state = (n, k, m, sign)0 5 -3 1
92 energy for occn = -19.2695314 m = -7 primary_state = (n, k, m, sign)1 -4 -7 1
93 energy for occn = -19.2695314 m = 7 primary_state = (n, k, m, sign)1 -4 7 1
94 energy for occn = -19.2695314 m = -1 primary_state = (n, k, m, sign)1 -4 -1 1
95 energy for occn = -19.2695314 m = 1 primary_state = (n, k, m, sign)1 -4 1 1
96 energy for occn = -19.2695314 m = 3 primary_state = (n, k, m, sign)1 -4 3 1
97 energy for occn = -19.2695314 m = -5 primary_state = (n, k, m, sign)1 -4 -5 1
98 energy for occn = -19.2695314 m = 5 primary_state = (n, k, m, sign)1 -4 5 1
99 energy for occn = -19.2695314 m = -3 primary_state = (n, k, m, sign)1 -4 -3 1
100 energy for occn = -18.6374004 m = 13 primary_state = (n, k, m, sign)0 -7 13 1
101 energy for occn = -18.6374004 m = 11 primary_state = (n, k, m, sign)0 -7 11 1
102 energy for occn = -18.6374004 m = 9 primary_state = (n, k, m, sign)0 -7 9 1
103 energy for occn = -18.6374004 m = 7 primary_state = (n, k, m, sign)0 -7 7 1
104 energy for occn = -18.6374004 m = 1 primary_state = (n, k, m, sign)0 -7 1 1
105 energy for occn = -18.6374004 m = -13 primary_state = (n, k, m, sign)0 -7 -13 1
106 energy for occn = -18.6374004 m = 5 primary_state = (n, k, m, sign)0 -7 5 1
107 energy for occn = -18.6374004 m = 3 primary_state = (n, k, m, sign)0 -7 3 1
108 energy for occn = -18.6374004 m = -11 primary_state = (n, k, m, sign)0 -7 -11 1
109 energy for occn = -18.6374004 m = -5 primary_state = (n, k, m, sign)0 -7 -5 1
110 energy for occn = -18.6374004 m = -3 primary_state = (n, k, m, sign)0 -7 -3 1
111 energy for occn = -18.6374004 m = -7 primary_state = (n, k, m, sign)0 -7 -7 1
112 energy for occn = -18.6374004 m = -9 primary_state = (n, k, m, sign)0 -7 -9 1
113 energy for occn = -18.6374004 m = -1 primary_state = (n, k, m, sign)0 -7 -1 1
114 energy for occn = -17.55379 m = -1 primary_state = (n, k, m, sign)1 3 -1 1
115 energy for occn = -17.55379 m = -3 primary_state = (n, k, m, sign)1 3 -3 1
116 energy for occn = -17.55379 m = 1 primary_state = (n, k, m, sign)1 3 1 1
117 energy for occn = -17.55379 m = 3 primary_state = (n, k, m, sign)1 3 3 1
118 energy for occn = -17.55379 m = 5 primary_state = (n, k, m, sign)1 3 5 1
119 energy for occn = -17.55379 m = -5 primary_state = (n, k, m, sign)1 3 -5 1
120 energy for occn = -15.2212073 m = -1 primary_state = (n, k, m, sign)2 -2 -1 1
121 energy for occn = -15.2212073 m = -3 primary_state = (n, k, m, sign)2 -2 -3 1
122 energy for occn = -15.2212073 m = 3 primary_state = (n, k, m, sign)2 -2 3 1
123 energy for occn = -15.2212073 m = 1 primary_state = (n, k, m, sign)2 -2 1 1
124 energy for occn = -14.6751669 m = -1 primary_state = (n, k, m, sign)2 1 -1 1
125 energy for occn = -14.6751669 m = 1 primary_state = (n, k, m, sign)2 1 1 1
126 energy for occn = -13.7465668 m = -3 primary_state = (n, k, m, sign)0 6 -3 1
127 energy for occn = -13.7465668 m = 5 primary_state = (n, k, m, sign)0 6 5 1
128 energy for occn = -13.7465668 m = 3 primary_state = (n, k, m, sign)0 6 3 1
129 energy for occn = -13.7465668 m = -7 primary_state = (n, k, m, sign)0 6 -7 1
130 energy for occn = -13.7465668 m = 9 primary_state = (n, k, m, sign)0 6 9 1
131 energy for occn = -13.7465668 m = 1 primary_state = (n, k, m, sign)0 6 1 1
132 energy for occn = -13.7465668 m = -11 primary_state = (n, k, m, sign)0 6 -11 1
133 energy for occn = -13.7465668 m = 11 primary_state = (n, k, m, sign)0 6 11 1
134 energy for occn = -13.7465668 m = -1 primary_state = (n, k, m, sign)0 6 -1 1
135 energy for occn = -13.7465668 m = -9 primary_state = (n, k, m, sign)0 6 -9 1
136 energy for occn = -13.7465668 m = -5 primary_state = (n, k, m, sign)0 6 -5 1
137 energy for occn = -13.7465668 m = 7 primary_state = (n, k, m, sign)0 6 7 1
138 energy for occn = -10.4057237 m = -5 primary_state = (n, k, m, sign)1 -5 -5 1
139 energy for occn = -10.4057237 m = -3 primary_state = (n, k, m, sign)1 -5 -3 1
140 energy for occn = -10.4057237 m = -7 primary_state = (n, k, m, sign)1 -5 -7 1
141 energy for occn = -10.4057237 m = 5 primary_state = (n, k, m, sign)1 -5 5 1
142 energy for occn = -10.4057237 m = 9 primary_state = (n, k, m, sign)1 -5 9 1
143 energy for occn = -10.4057237 m = 1 primary_state = (n, k, m, sign)1 -5 1 1
144 energy for occn = -10.4057237 m = 3 primary_state = (n, k, m, sign)1 -5 3 1
145 energy for occn = -10.4057237 m = -9 primary_state = (n, k, m, sign)1 -5 -9 1
146 energy for occn = -10.4057237 m = -1 primary_state = (n, k, m, sign)1 -5 -1 1
147 energy for occn = -10.4057237 m = 7 primary_state = (n, k, m, sign)1 -5 7 1
148 energy for occn = -9.95202633 m = -13 primary_state = (n, k, m, sign)0 -8 -13 1
149 energy for occn = -9.95202633 m = 5 primary_state = (n, k, m, sign)0 -8 5 1
150 energy for occn = -9.95202633 m = 9 primary_state = (n, k, m, sign)0 -8 9 1
151 energy for occn = -9.95202633 m = -7 primary_state = (n, k, m, sign)0 -8 -7 1
152 energy for occn = -9.95202633 m = 15 primary_state = (n, k, m, sign)0 -8 15 1
153 energy for occn = -9.95202633 m = -9 primary_state = (n, k, m, sign)0 -8 -9 1
154 energy for occn = -9.95202633 m = -11 primary_state = (n, k, m, sign)0 -8 -11 1
155 energy for occn = -9.95202633 m = 7 primary_state = (n, k, m, sign)0 -8 7 1
156 energy for occn = -9.95202633 m = 13 primary_state = (n, k, m, sign)0 -8 13 1
157 energy for occn = -9.95202633 m = 1 primary_state = (n, k, m, sign)0 -8 1 1
158 energy for occn = -9.95202633 m = 3 primary_state = (n, k, m, sign)0 -8 3 1
159 energy for occn = -9.95202633 m = -5 primary_state = (n, k, m, sign)0 -8 -5 1
160 energy for occn = -9.95202633 m = -1 primary_state = (n, k, m, sign)0 -8 -1 1
161 energy for occn = -9.95202633 m = -15 primary_state = (n, k, m, sign)0 -8 -15 1
162 energy for occn = -9.95202633 m = 11 primary_state = (n, k, m, sign)0 -8 11 1
163 energy for occn = -9.95202633 m = -3 primary_state = (n, k, m, sign)0 -8 -3 1
164 energy for occn = -8.15874232 m = -3 primary_state = (n, k, m, sign)1 4 -3 1
165 energy for occn = -8.15874232 m = 1 primary_state = (n, k, m, sign)1 4 1 1
166 energy for occn = -8.15874232 m = 5 primary_state = (n, k, m, sign)1 4 5 1
167 energy for occn = -8.15874232 m = -1 primary_state = (n, k, m, sign)1 4 -1 1
168 energy for occn = -8.15874232 m = -7 primary_state = (n, k, m, sign)1 4 -7 1
169 energy for occn = -8.15874232 m = -5 primary_state = (n, k, m, sign)1 4 -5 1
170 energy for occn = -8.15874232 m = 7 primary_state = (n, k, m, sign)1 4 7 1
171 energy for occn = -8.15874232 m = 3 primary_state = (n, k, m, sign)1 4 3 1
172 energy for occn = -6.6987209 m = -3 primary_state = (n, k, m, sign)2 -3 -3 1
173 energy for occn = -6.6987209 m = -1 primary_state = (n, k, m, sign)2 -3 -1 1
174 energy for occn = -6.6987209 m = -5 primary_state = (n, k, m, sign)2 -3 -5 1
175 energy for occn = -6.6987209 m = 5 primary_state = (n, k, m, sign)2 -3 5 1
176 energy for occn = -6.6987209 m = 1 primary_state = (n, k, m, sign)2 -3 1 1
177 energy for occn = -6.6987209 m = 3 primary_state = (n, k, m, sign)2 -3 3 1
178 energy for occn = -6.11775802 m = 3 primary_state = (n, k, m, sign)2 2 3 1
179 energy for occn = -6.11775802 m = -1 primary_state = (n, k, m, sign)2 2 -1 1
180 energy for occn = -6.11775802 m = -3 primary_state = (n, k, m, sign)2 2 -3 1
181 energy for occn = -6.11775802 m = 1 primary_state = (n, k, m, sign)2 2 1 1
182 energy for occn = -5.76799731 m = 1 primary_state = (n, k, m, sign)3 -1 1 1
183 energy for occn = -5.76799731 m = -1 primary_state = (n, k, m, sign)3 -1 -1 1
